#1
double Tamb(6052,2) # Time in h and Tamb in degC
15.747,21.6727
15.748,21.6605
15.75,21.6361
15.751,21.7582
15.752,21.6971
15.754,21.6605
15.756,21.6361
15.758,21.6605
15.759,21.6361
15.761,21.6605
15.763,21.6361
15.765,21.6605
15.771,21.6361
15.772,21.6971
15.773,21.6361
15.774,21.6971
15.775,21.5384
15.776,21.6361
15.779,21.6605
15.781,21.5995
15.783,21.6605
15.784,21.6361
15.785,21.6605
15.788,21.5629
15.789,21.6361
15.79,21.6605
15.791,21.6361
15.794,21.6605
15.797,21.6361
15.799,21.6239
15.8,21.5995
15.801,21.6361
15.802,21.6605
15.804,21.6361
15.806,21.6117
15.807,21.5995
15.808,21.6361
15.809,21.5995
15.81,21.6361
15.811,21.5995
15.814,21.5629
15.816,21.6361
15.818,21.5995
15.82,21.6361
15.821,21.6605
15.822,21.5995
15.823,21.6361
15.826,21.5629
15.828,21.6605
15.829,21.5995
15.831,21.6361
15.834,21.5995
15.835,21.6361
15.836,21.6605
15.841,21.6361
15.842,21.6605
15.843,21.6361
15.844,21.5629
15.845,21.6361
15.846,21.5995
15.848,21.5629
15.849,21.6361
15.851,21.5629
15.852,21.6361
15.858,21.5629
15.86,21.5384
15.862,21.6361
15.863,21.5629
15.867,21.6361
15.868,21.5384
15.869,21.6605
15.872,21.5629
15.873,21.5995
15.874,21.5629
15.875,21.5995
15.876,21.5384
15.878,21.5995
15.879,21.5384
15.88,21.5995
15.882,21.5629
15.884,21.5384
15.885,21.5629
15.886,21.5995
15.887,21.5384
15.888,21.5995
15.889,21.6605
15.89,21.6361
15.892,21.5629
15.894,21.5995
15.895,21.5018
15.896,21.5384
15.898,21.5995
15.899,21.5629
15.904,21.5995
15.905,21.5384
15.908,21.5995
15.909,21.6605
15.91,21.5629
15.911,21.5995
15.912,21.5629
15.914,21.6117
15.916,21.5995
15.917,21.5384
15.918,21.5995
15.919,21.5384
15.92,21.5995
15.921,21.5629
15.922,21.5384
15.923,21.5995
15.924,21.5384
15.925,21.5018
15.926,21.5384
15.927,21.5629
15.928,21.5384
15.929,21.5995
15.93,21.5629
15.932,21.5384
15.933,21.5629
15.935,21.5995
15.936,21.5384
15.937,21.5995
15.938,21.5629
15.939,21.5018
15.94,21.5384
15.941,21.5629
15.942,21.5995
15.943,21.5629
15.944,21.5018
15.945,21.5384
15.947,21.5995
15.948,21.5629
15.95,21.5384
15.951,21.5629
15.952,21.5995
15.953,21.5629
15.955,21.5995
15.956,21.5629
15.957,21.5995
15.958,21.5384
15.959,21.5629
15.961,21.5995
15.962,21.5629
15.966,21.5384
15.967,21.5629
15.968,21.5384
15.971,21.5629
15.973,21.5018
15.974,21.5995
15.975,21.5629
15.976,21.5384
15.977,21.5629
15.978,21.5384
15.979,21.514
15.98,21.5995
15.981,21.5629
15.983,21.5384
15.989,21.5629
15.99,21.5384
15.991,21.5018
15.992,21.5629
15.994,21.5995
15.995,21.5629
15.996,21.5995
15.997,21.5384
16,21.5995
16.001,21.5384
16.002,21.5629
16.004,21.5384
16.006,21.5629
16.007,21.5384
16.008,21.5629
16.009,21.5995
16.01,21.5629
16.012,21.5384
16.013,21.5629
16.014,21.5384
16.015,21.5629
16.021,21.5384
16.025,21.5629
16.027,21.5384
16.028,21.5629
16.029,21.5384
16.03,21.5018
16.031,21.5384
16.034,21.5629
16.035,21.5384
16.036,21.5262
16.037,21.514
16.038,21.5384
16.04,21.5995
16.041,21.5384
16.043,21.5018
16.044,21.5384
16.045,21.5018
16.046,21.5995
16.047,21.5018
16.048,21.5629
16.049,21.5384
16.05,21.5995
16.051,21.5384
16.053,21.514
16.054,21.5384
16.055,21.5629
16.059,21.5384
16.06,21.5629
16.061,21.5384
16.062,21.5629
16.063,21.5384
16.064,21.5018
16.065,21.5384
16.067,21.5018
16.068,21.5629
16.069,21.5018
16.07,21.5629
16.071,21.5018
16.072,21.5629
16.074,21.5384
16.075,21.5018
16.076,21.5629
16.077,21.5384
16.08,21.5629
16.082,21.453
16.083,21.5629
16.084,21.5018
16.085,21.5629
16.086,21.5384
16.09,21.5629
16.091,21.453
16.093,21.5629
16.094,21.5018
16.095,21.5629
16.096,21.5384
16.099,21.5629
16.1,21.453
16.101,21.5384
16.102,21.5629
16.104,21.453
16.105,21.5629
16.106,21.5384
16.11,21.5018
16.111,21.514
16.113,21.5018
16.114,21.5384
16.115,21.514
16.116,21.5629
16.118,21.453
16.119,21.5384
16.12,21.5018
16.123,21.514
16.125,21.5629
16.128,21.514
16.13,21.5018
16.132,21.453
16.133,21.514
16.134,21.5629
16.135,21.5018
16.136,21.5384
16.138,21.514
16.142,21.5384
16.143,21.5018
16.144,21.514
16.145,21.453
16.146,21.5018
16.148,21.5629
16.149,21.514
16.15,21.5384
16.151,21.5262
16.152,21.514
16.153,21.5018
16.155,21.453
16.156,21.5018
16.157,21.5384
16.158,21.514
16.16,21.5629
16.161,21.453
16.164,21.5018
16.166,21.514
16.168,21.5629
16.169,21.453
16.17,21.5629
16.171,21.453
16.172,21.5018
16.173,21.5629
16.174,21.5384
16.175,21.5629
16.176,21.5384
16.178,21.453
16.179,21.5018
16.18,21.5384
16.181,21.5018
16.182,21.5384
16.183,21.5018
16.185,21.453
16.19,21.5018
16.191,21.453
16.193,21.5018
16.196,21.453
16.198,21.5629
16.199,21.453
16.2,21.5018
16.201,21.5384
16.203,21.5018
16.204,21.453
16.205,21.5629
16.206,21.453
16.207,21.5018
16.208,21.5384
16.209,21.5018
16.212,21.453
16.213,21.514
16.214,21.5018
16.215,21.453
16.216,21.5018
16.218,21.453
16.22,21.5384
16.221,21.453
16.223,21.514
16.224,21.5018
16.225,21.453
16.227,21.4164
16.228,21.5384
16.229,21.5018
16.233,21.5384
16.234,21.453
16.236,21.5018
16.237,21.514
16.239,21.4042
16.24,21.453
16.242,21.4408
16.244,21.5018
16.245,21.453
16.249,21.5629
16.25,21.5018
16.251,21.453
16.252,21.5629
16.253,21.453
16.254,21.5018
16.256,21.514
16.257,21.453
16.258,21.5629
16.262,21.4164
16.263,21.453
16.264,21.5018
16.265,21.453
16.266,21.5018
16.267,21.453
16.269,21.5018
16.27,21.453
16.271,21.5018
16.274,21.4774
16.275,21.453
16.276,21.5018
16.279,21.453
16.281,21.4042
16.282,21.5018
16.283,21.514
16.287,21.4408
16.288,21.453
16.29,21.4408
16.291,21.453
16.292,21.4042
16.293,21.5018
16.295,21.453
16.296,21.4164
16.297,21.514
16.298,21.453
16.3,21.5018
16.301,21.453
16.306,21.5018
16.308,21.453
16.31,21.5018
16.311,21.453
16.312,21.4164
16.313,21.4042
16.315,21.5018
16.316,21.453
16.317,21.5629
16.318,21.453
16.32,21.5018
16.321,21.453
16.322,21.4042
16.324,21.4164
16.325,21.5018
16.329,21.4408
16.332,21.5018
16.333,21.4164
16.334,21.453
16.337,21.5018
16.341,21.3553
16.342,21.5018
16.344,21.4164
16.347,21.5018
16.348,21.453
16.35,21.4164
16.353,21.453
16.354,21.4164
16.355,21.5018
16.357,21.453
16.358,21.4164
16.359,21.5018
16.36,21.4042
16.361,21.4164
16.362,21.4042
16.366,21.4408
16.367,21.4042
16.368,21.4164
16.369,21.5018
16.375,21.4408
16.377,21.4042
16.378,21.4408
16.381,21.5018
16.383,21.453
16.384,21.5018
16.385,21.4042
16.386,21.4408
16.388,21.4164
16.389,21.453
16.39,21.4164
16.391,21.4042
16.392,21.5018
16.394,21.4164
16.397,21.5018
16.398,21.4408
16.399,21.5018
16.402,21.4042
16.403,21.4164
16.405,21.5018
16.406,21.453
16.408,21.4042
16.409,21.4286
16.41,21.4042
16.412,21.453
16.413,21.4042
16.414,21.4164
16.415,21.4042
16.416,21.4408
16.417,21.3553
16.418,21.453
16.424,21.4042
16.426,21.3553
16.427,21.4164
16.428,21.4042
16.429,21.4164
16.43,21.453
16.431,21.4042
16.433,21.5018
16.434,21.453
16.435,21.4164
16.436,21.453
16.437,21.4164
16.439,21.453
16.44,21.4042
16.441,21.4164
16.443,21.4042
16.444,21.4164
16.445,21.453
16.446,21.4042
16.447,21.3553
16.448,21.4042
16.451,21.3553
16.452,21.5018
16.453,21.4408
16.454,21.4164
16.455,21.4042
16.456,21.3553
16.458,21.4042
16.46,21.4164
16.461,21.4042
16.462,21.453
16.464,21.4042
16.466,21.4164
16.47,21.4042
16.472,21.4164
16.473,21.453
16.474,21.4164
16.475,21.4042
16.477,21.4164
16.485,21.4042
16.486,21.5018
16.487,21.4408
16.488,21.4164
16.491,21.4042
16.494,21.453
16.495,21.4042
16.497,21.5018
16.498,21.4408
16.499,21.4164
16.5,21.453
16.501,21.4164
16.503,21.4042
16.504,21.4164
16.507,21.4042
16.508,21.4408
16.509,21.4042
16.51,21.4164
16.512,21.4042
16.514,21.4164
16.515,21.4042
16.516,21.4408
16.517,21.4164
16.518,21.4042
16.52,21.453
16.521,21.4164
16.523,21.4042
16.524,21.4164
16.525,21.453
16.527,21.4164
16.528,21.453
16.529,21.4164
16.53,21.4042
16.531,21.4164
16.532,21.4042
16.533,21.453
16.535,21.4164
16.536,21.4042
16.537,21.3675
16.538,21.3553
16.539,21.4042
16.54,21.5018
16.541,21.3553
16.542,21.4164
16.544,21.4042
16.545,21.453
16.546,21.4164
16.548,21.4042
16.55,21.453
16.551,21.4042
16.553,21.4408
16.555,21.4164
16.556,21.453
16.559,21.4164
16.561,21.453
16.562,21.4408
16.563,21.4042
16.567,21.4164
16.568,21.4042
16.57,21.4164
16.571,21.4042
16.572,21.4286
16.573,21.453
16.574,21.4042
16.575,21.3553
16.576,21.4042
16.577,21.4164
16.578,21.453
16.58,21.5018
16.581,21.4164
16.582,21.4042
16.584,21.4164
16.585,21.3553
16.586,21.4408
16.587,21.4042
16.588,21.4164
16.589,21.453
16.59,21.4164
16.592,21.5018
16.593,21.4164
16.594,21.4042
16.595,21.4164
16.597,21.453
16.598,21.4042
16.599,21.453
16.6,21.4164
16.601,21.4042
16.603,21.4164
16.604,21.4042
16.605,21.4164
16.606,21.4042
16.608,21.453
16.609,21.4164
16.61,21.453
16.611,21.4164
16.612,21.4042
16.613,21.4408
16.614,21.4164
16.615,21.4042
16.619,21.4164
16.62,21.4042
16.621,21.4164
16.622,21.4042
16.623,21.453
16.624,21.4164
16.625,21.4042
16.626,21.4164
16.628,21.453
16.629,21.4164
16.63,21.453
16.631,21.4164
16.632,21.4042
16.634,21.4164
16.635,21.4042
16.637,21.4164
16.638,21.4042
16.639,21.4164
16.64,21.4042
16.641,21.3553
16.642,21.4164
16.644,21.453
16.645,21.4164
16.646,21.453
16.647,21.3553
16.648,21.4042
16.651,21.4408
16.652,21.4042
16.653,21.4164
16.655,21.4042
16.656,21.3553
16.657,21.4042
16.659,21.4164
16.66,21.4042
16.663,21.453
16.664,21.4164
16.665,21.4042
16.667,21.453
16.668,21.4164
16.669,21.4042
16.671,21.3553
16.672,21.4164
16.673,21.3553
16.674,21.453
16.675,21.4164
16.677,21.4042
16.679,21.3553
16.681,21.4042
16.682,21.453
16.683,21.4042
16.684,21.4164
16.685,21.453
16.686,21.4164
16.687,21.4042
16.689,21.4164
16.69,21.4042
16.692,21.4164
16.693,21.4042
16.694,21.4164
16.695,21.3431
16.696,21.4042
16.697,21.453
16.698,21.4164
16.7,21.4042
16.701,21.3553
16.702,21.4164
16.703,21.4042
16.704,21.4164
16.705,21.4042
16.706,21.453
16.707,21.4164
16.708,21.4042
16.71,21.3553
16.711,21.4042
16.714,21.4164
16.715,21.4042
16.717,21.453
16.718,21.4042
16.719,21.4164
16.72,21.3553
16.721,21.4042
16.722,21.4164
16.723,21.4042
16.724,21.3553
16.726,21.4042
16.727,21.4164
16.73,21.4042
16.736,21.3553
16.738,21.4042
16.74,21.3553
16.742,21.3919
16.743,21.3553
16.744,21.4042
16.746,21.3553
16.747,21.453
16.749,21.3553
16.75,21.4164
16.751,21.453
16.752,21.4042
16.756,21.3065
16.757,21.3431
16.758,21.4042
16.759,21.4164
16.762,21.3431
16.763,21.4164
16.764,21.4042
16.765,21.4164
16.766,21.4042
16.769,21.3919
16.77,21.4042
16.771,21.3065
16.772,21.3553
16.773,21.4042
16.777,21.453
16.778,21.4042
16.779,21.3553
16.781,21.4164
16.783,21.4042
16.787,21.4164
16.788,21.4042
16.79,21.3553
16.792,21.4042
16.793,21.3431
16.794,21.4164
16.795,21.3431
16.796,21.4042
16.798,21.3065
16.799,21.3553
16.801,21.4042
16.802,21.3431
16.803,21.4042
16.809,21.4164
16.81,21.3553
16.811,21.4042
16.813,21.3919
16.814,21.3065
16.815,21.3553
16.817,21.4042
16.819,21.4164
16.82,21.3553
16.821,21.4042
16.824,21.3553
16.826,21.3431
16.827,21.3553
16.828,21.4042
16.829,21.3065
16.83,21.4164
16.831,21.3187
16.832,21.3553
16.835,21.3431
16.836,21.3065
16.837,21.4164
16.838,21.4042
16.84,21.3187
16.842,21.4164
16.843,21.4042
16.844,21.3553
16.845,21.4042
16.847,21.3187
16.848,21.3065
16.852,21.4042
16.853,21.3553
16.854,21.3431
16.855,21.3553
16.857,21.3065
16.858,21.4042
16.859,21.3553
16.861,21.4042
16.863,21.3553
16.865,21.3065
16.866,21.3553
16.868,21.3065
16.869,21.4042
16.87,21.4164
16.872,21.3187
16.873,21.3065
16.874,21.4164
16.878,21.4042
16.879,21.3431
16.88,21.3065
16.881,21.4164
16.884,21.3065
16.888,21.4164
16.889,21.4042
16.89,21.3553
16.891,21.4164
16.892,21.3553
16.893,21.3065
16.894,21.3187
16.895,21.3553
16.896,21.3431
16.897,21.3187
16.898,21.3553
16.9,21.4042
16.901,21.4164
16.902,21.3187
16.904,21.3553
16.905,21.3187
16.906,21.3553
16.907,21.3431
16.909,21.3065
16.912,21.3431
16.913,21.3187
16.919,21.4042
16.92,21.3187
16.921,21.2577
16.922,21.3431
16.924,21.2577
16.926,21.4042
16.927,21.3187
16.93,21.3431
16.931,21.4042
16.932,21.3187
16.933,21.3553
16.934,21.4164
16.935,21.3553
16.937,21.3187
16.939,21.4042
16.941,21.4164
16.942,21.3065
16.943,21.3553
16.944,21.3065
16.946,21.3553
16.948,21.3187
16.951,21.3553
16.953,21.4042
16.954,21.3065
16.956,21.3187
16.957,21.3065
16.958,21.4164
16.959,21.3431
16.96,21.3553
16.962,21.3065
16.963,21.3919
16.966,21.3431
16.968,21.2577
16.969,21.3553
16.971,21.3065
16.972,21.4042
16.975,21.3431
16.978,21.4042
16.979,21.3065
16.982,21.3553
16.983,21.3065
16.984,21.3553
16.987,21.3187
16.989,21.3065
16.994,21.3553
16.995,21.4042
16.996,21.4164
16.998,21.3065
16.999,21.4042
17,21.3553
17.001,21.4042
17.002,21.4164
17.005,21.3187
17.006,21.4164
17.008,21.3065
17.009,21.3553
17.01,21.3065
17.011,21.3553
17.012,21.4042
17.013,21.3065
17.015,21.3187
17.016,21.4042
17.018,21.3065
17.019,21.3553
17.02,21.4042
17.021,21.3065
17.022,21.3187
17.023,21.3065
17.027,21.3675
17.029,21.3187
17.03,21.3065
17.031,21.3187
17.033,21.3065
17.034,21.3553
17.036,21.3187
17.038,21.3065
17.039,21.3553
17.04,21.3065
17.041,21.3553
17.042,21.3065
17.045,21.3553
17.046,21.3065
17.048,21.3187
17.049,21.3065
17.05,21.4042
17.051,21.3187
17.054,21.3065
17.055,21.3553
17.058,21.4042
17.059,21.3065
17.062,21.3553
17.063,21.3065
17.064,21.3553
17.065,21.3065
17.066,21.4164
17.067,21.3065
17.068,21.3553
17.069,21.3065
17.073,21.3187
17.075,21.2577
17.076,21.3187
17.078,21.3065
17.079,21.3553
17.081,21.3187
17.082,21.3065
17.083,21.3431
17.084,21.3553
17.085,21.3065
17.086,21.3553
17.088,21.3065
17.089,21.3187
17.092,21.3431
17.093,21.3187
17.094,21.4164
17.095,21.3065
17.096,21.3187
17.099,21.3065
17.1,21.3187
17.101,21.3553
17.102,21.3187
17.103,21.3553
17.105,21.3065
17.108,21.3187
17.109,21.3553
17.112,21.3065
17.117,21.3187
17.118,21.3553
17.119,21.3187
